Year ,"Classification: instantiation, modifying, or extending",Half-life - duration (compared to 2013),Half-life - year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2006,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,1,,1,1,2,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,3,1
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,2,2
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,1,2,2
2010,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,,2,1,1
2010,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,1
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,3,
2000,Instantiation,7,2006,,,,,,,,,,,,,,1,,,1,,,1,,,,,
2011,Instantiation,-1,2014,,,,,,,,,,,,,,,,,,,,,,,,,3
2011,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,,1,1,
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,1
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,2,
2000,Instantiation,7,2006,,,,,,,,,,,,,,,,,1,,,,,,,,
2004,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,,1,,
2009,Instantiation,3,2010,,,,,,,,,,,,,,,,,,,,,1,,,,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Instantiation,1,2012,,,,,,,,,,,,,,,,,,,,,,,1,,
2011,Instantiation,0,2013,,,,,,,,,,,,,,,,,,,,,,,,1,
2012,Instantiation,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Instantiation,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
